Affected Protein,Partner Protein,NCBI gene ID,Retained DDIs,Lost DDIs,Percentage of lost domain-domain interactions,Protein-protein interaction
SRGAP2,MYO1G,64005,PF00018-PF00063,,0.0,Retained
SRGAP2,PTPN14,5784,PF00018-PF00102,,0.0,Retained
SRGAP2,MAST3,23031,PF00069-PF00620 ; PF00069-PF00018,PF00069-PF00611,33.0,Affected
SRGAP2,ANKRD34A,284615,PF00018-PF12796,,0.0,Retained
SRGAP2,DCLK1,9201,PF00018-PF00069 ; PF00069-PF00620,PF00069-PF00611,33.0,Affected
SRGAP2,ITSN2,50618,PF00621-PF00018 ; PF00168-PF00018 ; PF00018-PF00620 ; PF00018-PF00018 ; PF07653-PF00018,PF00018-PF00611 ; PF14604-PF00611,28.999999999999996,Affected
SRGAP2,NTRK1,4914,PF07714-PF00018,,0.0,Retained
SRGAP2,DIAPH1,1729,PF00018-PF02181,,0.0,Retained
SRGAP2,SYDE1,85360,PF00620-PF00620 ; PF00620-PF00018,,0.0,Retained
SRGAP2,INPP5E,56623,PF00620-PF03372,,0.0,Retained
SRGAP2,TIAM1,7074,PF00169-PF00620 ; PF00169-PF00018 ; PF00595-PF00018 ; PF02196-PF00620 ; PF00018-PF00621,,0.0,Retained
SRGAP2,MAGI1,9223,PF00595-PF00018 ; PF00625-PF00018,,0.0,Retained
SRGAP2,RAB11FIP2,22841,PF00018-PF00168,,0.0,Retained
SRGAP2,TANC2,26115,PF12796-PF00018 ; PF00018-PF00023,,0.0,Retained
SRGAP2,AFDN,4301,PF00788-PF00620 ; PF00018-PF00595,,0.0,Retained
SRGAP2,DEPDC1B,55789,PF00620-PF00620 ; PF00620-PF00018,,0.0,Retained
SRGAP2,PLEKHA5,54477,PF00018-PF00169 ; PF00169-PF00620,,0.0,Retained
SRGAP2,NF1,4763,PF00616-PF00018,,0.0,Retained
SRGAP2,USP21,27005,PF00018-PF00443,,0.0,Retained
SRGAP2,RASAL2,9462,PF00168-PF00018 ; PF00018-PF00616,,0.0,Retained
SRGAP2,TESK2,10420,PF00069-PF00620 ; PF00069-PF00018 ; PF07714-PF00018,PF00069-PF00611,25.0,Affected
SRGAP2,RALGPS2,55103,PF00018-PF00169 ; PF00018-PF00617 ; PF00169-PF00620,,0.0,Retained
SRGAP2,CDK16,5127,PF00018-PF00069 ; PF00620-PF00069,PF00611-PF00069,33.0,Affected
SRGAP2,PLEKHA7,144100,PF00018-PF00169 ; PF00620-PF00169,,0.0,Retained
SRGAP2,WAS,7454,PF00568-PF00018 ; PF02205-PF00018 ; PF00018-PF00786 ; PF00786-PF00620,PF02205-PF00611,20.0,Affected
SRGAP2,YWHAE,7531,PF00018-PF00244,,0.0,Retained
SRGAP2,STARD13,90627,PF00018-PF00620 ; PF00620-PF00620,,0.0,Retained
SRGAP2,SH3BP4,23677,PF00018-PF07653,PF14604-PF00611,50.0,Affected
SRGAP2,GAB2,9846,PF00169-PF00620 ; PF00169-PF00018,,0.0,Retained
SRGAP2,RTKN,6242,PF00018-PF00169 ; PF00620-PF00169,,0.0,Retained
SRGAP2,WIPF1,7456,PF00018-PF02205,PF00611-PF02205,50.0,Affected
SRGAP2,CHEK1,1111,PF00018-PF00069 ; PF00620-PF00069,PF00611-PF00069,33.0,Affected
SRGAP2,SH3PXD2A,9644,PF00787-PF00018 ; PF00018-PF00018 ; PF00620-PF00018,PF00611-PF00018,25.0,Affected
SRGAP2,KIF1B,23095,PF00018-PF00169 ; PF00620-PF00169,,0.0,Retained
SRGAP2,LIMA1,51474,PF00620-PF00412,,0.0,Retained
SRGAP2,PTPN13,5783,PF00018-PF00595 ; PF00018-PF00102,,0.0,Retained
SRGAP2,MAP3K21,84451,PF00018-PF07714,PF00611-PF14604,50.0,Affected
SRGAP2,HECTD1,25831,PF00018-PF12796,,0.0,Retained
SRGAP2,RPTOR,57521,PF00018-PF00400,,0.0,Retained
SRGAP2,KSR1,8844,PF07714-PF00018,,0.0,Retained
SRGAP2,SH3RF3,344558,PF00018-PF00018 ; PF00620-PF00018,PF00611-PF14604 ; PF00611-PF00018,50.0,Affected
SRGAP2,ZBTB21,49854,PF00018-PF00096,,0.0,Retained
SRGAP2,AGAP1,116987,PF12796-PF00018 ; PF00018-PF00169 ; PF00018-PF00071 ; PF00018-PF01412 ; PF00169-PF00620 ; PF00620-PF00071,,0.0,Retained
SRGAP2,MELK,9833,PF00018-PF00069 ; PF00620-PF00069,PF00611-PF00069,33.0,Affected
SRGAP2,YWHAB,7529,PF00018-PF00244,,0.0,Retained
SRGAP2,PHLDB2,90102,PF00018-PF00169 ; PF00620-PF00169,,0.0,Retained
SRGAP2,YWHAG,7532,PF00018-PF00244,,0.0,Retained
SRGAP2,SRGAP3,9901,PF00018-PF00620 ; PF00018-PF00018 ; PF00611-PF00018 ; PF00018-PF00620 ; PF00620-PF00620,PF00018-PF00611 ; PF00611-PF00611,28.999999999999996,Affected
